jug_id,nom,nomEquip,posicio,gols,ranking_gols,promig_gols,partits,targetes,ranking_targetes,targetes_grogues,ranking_targetes_vermelles,assistencies,ranking_assistencies,promig_assistencies,passes,passes_bons,ranking_passes_bons,promig_passes_bons,ranking_passes,gols_ok,ranking_gols_ok,promig_gols_ok
01_0101_2018_19054,Messi,Barcelona,delantero,31,1,"1,15",27,2,240,2,233,12,1,"0,44",1532,1258,15,"82,11",12,20,170,"0,74"
01_0101_2018_39336,Suárez,Barcelona,delantero,18,2,"0,64",28,3,187,3,176,6,7,"0,21",804,605,121,"75,25",106,24,123,"0,86"
01_0101_2018_49464,Stuani,Girona,delantero,17,3,"0,65",26,7,42,7,37,0,0,"0,0",412,280,261,"67,96",254,32,51,"1,23"
01_0101_2018_83912,Ben Yedder,Sevilla,delantero,16,4,"0,62",26,3,187,3,176,6,7,"0,23",560,421,192,"75,18",201,23,135,"0,88"
01_0101_2018_19927,Benzema,R. Madrid,delantero,14,5,"0,48",29,1,303,1,298,5,13,"0,17",953,796,70,"83,53",75,30,69,"1,03"
01_0101_2018_109270,Mata,Getafe,delantero,13,6,"0,5",26,7,42,7,37,6,7,"0,23",456,291,257,"63,82",242,18,198,"0,69"
01_0101_2018_40270,Aspas,Celta,delantero,12,7,"0,63",19,4,130,4,120,2,62,"0,11",622,508,153,"81,67",170,28,85,"1,47"
01_0101_2018_86349,Charles,Eibar,delantero,12,7,"0,46",26,3,187,3,176,1,126,"0,04",444,307,251,"69,14",247,16,225,"0,62"
01_0101_2018_119403,De Tomás,Rayo,delantero,12,7,"0,46",26,3,187,3,176,0,0,"0,0",371,303,253,"81,67",267,42,11,"1,62"
01_0101_2018_76650,Griezmann,Atlético,delantero,12,7,"0,41",29,4,130,4,120,8,4,"0,28",1061,810,67,"76,34",52,19,186,"0,66"
01_0101_2018_202044,Borja Iglesias,Espanyol,delantero,11,11,"0,39",28,5,85,5,78,2,62,"0,07",510,371,225,"72,75",220,36,27,"1,29"
01_0101_2018_219000,Oyarzabal,R. Sociedad,delantero,11,11,"0,39",28,1,303,1,298,1,126,"0,04",690,510,151,"73,91",145,29,76,"1,04"
01_0101_2018_109702,Roger,Levante,delantero,10,13,"0,4",25,2,240,2,233,0,0,"0,0",290,200,312,"68,97",300,30,69,"1,2"
01_0101_2018_215206,Maxi Gómez,Celta,delantero,10,13,"0,38",26,5,85,4,120,5,13,"0,19",505,377,219,"74,65",224,38,20,"1,46"
01_0101_2018_76555,J. Molina,Getafe,delantero,10,13,"0,34",29,2,240,2,233,3,37,"0,1",552,367,230,"66,49",207,22,149,"0,76"
01_0101_2018_73314,Willian José,R. Sociedad,delantero,9,16,"0,39",23,5,85,5,78,3,37,"0,13",523,398,209,"76,1",217,18,198,"0,78"
01_0101_2018_165811,André Silva,Sevilla,delantero,9,16,"0,35",26,4,130,4,120,0,0,"0,0",530,384,217,"72,45",213,27,97,"1,04"
01_0101_2018_88484,Sarabia,Sevilla,centrocampista,9,16,"0,35",26,8,25,8,21,9,2,"0,35",929,742,84,"79,87",79,29,76,"1,12"
01_0101_2018_165375,Morales,Levante,centrocampista,9,16,"0,32",28,5,85,5,78,4,21,"0,14",556,401,207,"72,12",204,48,3,"1,71"
01_0101_2018_197334,Williams,Athletic,delantero,9,16,"0,31",29,2,240,2,233,4,21,"0,14",504,359,232,"71,23",226,29,76,"1,0"
01_0101_2018_36903,Bale,R. Madrid,delantero,8,21,"0,35",23,4,130,4,120,2,62,"0,09",593,475,170,"80,1",186,20,170,"0,87"
01_0101_2018_234991,En-Nesyri,Leganés,delantero,8,21,"0,33",24,6,58,6,55,2,62,"0,08",385,217,303,"56,36",264,22,149,"0,92"
01_0101_2018_219438,O. Dembélé,Barcelona,delantero,8,21,"0,33",24,1,303,1,298,4,21,"0,17",767,624,117,"81,36",117,12,289,"0,5"
01_0101_2018_51952,Parejo,Valencia,centrocampista,8,21,"0,3",27,5,85,4,120,3,37,"0,11",1745,1488,10,"85,27",9,21,159,"0,78"
01_0101_2018_193454,Ekambi,Villarreal,delantero,7,25,"0,26",27,3,187,3,176,1,126,"0,04",369,277,263,"75,07",268,23,135,"0,85"
01_0101_2018_80791,Enrich,Eibar,delantero,7,25,"0,26",27,3,187,3,176,3,37,"0,11",737,531,143,"72,05",128,32,51,"1,19"
01_0101_2018_88550,Portu,Girona,centrocampista,6,27,"0,24",25,3,187,3,176,2,62,"0,08",420,313,247,"74,52",252,35,31,"1,4"
01_0101_2018_18498,R. García,Athletic,centrocampista,6,27,"0,24",25,8,25,8,21,3,37,"0,12",651,357,233,"54,84",163,15,242,"0,6"
01_0101_2018_168287,Calleri,Alavés,delantero,6,27,"0,23",26,4,130,4,120,2,62,"0,08",526,307,251,"58,37",215,26,107,"1,0"
01_0101_2018_205992,Ávila,Huesca,delantero,6,27,"0,23",26,7,42,6,55,2,62,"0,08",352,196,315,"55,68",276,24,123,"0,92"
01_0101_2018_56448,Canales,Betis,centrocampista,6,27,"0,22",27,7,42,7,37,2,62,"0,07",1529,1355,12,"88,62",13,33,43,"1,22"
01_0101_2018_76012,Muniain,Athletic,delantero,6,27,"0,22",27,4,130,4,120,2,62,"0,07",948,814,66,"85,86",76,25,111,"0,93"
01_0101_2018_17861,Ramos,R. Madrid,defensa,6,27,"0,22",27,6,58,5,78,1,126,"0,04",1838,1692,5,"92,06",6,31,60,"1,15"
01_0101_2018_98914,G. Carrillo,Leganés,delantero,5,34,"0,21",24,4,130,4,120,1,126,"0,04",505,333,243,"65,94",224,15,242,"0,63"
01_0101_2018_200826,Lo Celso,Betis,centrocampista,5,34,"0,21",24,3,187,3,176,2,62,"0,08",1043,870,54,"83,41",57,29,76,"1,21"
01_0101_2018_432751,Loren,Betis,delantero,5,34,"0,2",25,3,187,3,176,0,0,"0,0",276,205,307,"74,28",309,20,170,"0,8"
01_0101_2018_178880,Brais Méndez,Celta,centrocampista,5,34,"0,19",26,4,130,4,120,7,5,"0,27",1017,800,69,"78,66",64,39,17,"1,5"
01_0101_2018_80954,Rodrigo,Valencia,delantero,5,34,"0,19",26,3,187,3,176,5,13,"0,19",685,510,151,"74,45",147,18,198,"0,69"
01_0101_2018_93721,G. Moreno,Villarreal,delantero,5,34,"0,19",27,2,240,2,233,0,0,"0,0",616,443,184,"71,92",174,27,97,"1,0"
01_0101_2018_56419,Ángel,Getafe,delantero,5,34,"0,18",28,3,187,3,176,2,62,"0,07",247,168,332,"68,02",323,11,305,"0,39"
01_0101_2018_88482,Morata,Atlético,delantero,4,41,"0,57",7,1,303,1,298,1,126,"0,14",133,82,389,"61,65",381,5,385,"0,71"
01_0101_2018_83091,Bastón,Alavés,delantero,4,41,"0,2",20,2,240,2,233,1,126,"0,05",218,138,348,"63,3",333,16,225,"0,8"
01_0101_2018_10316,Joaquín,Betis,centrocampista,4,41,"0,18",22,4,130,4,120,0,0,"0,0",595,506,155,"85,04",183,13,279,"0,59"
01_0101_2018_58637,Etxeita,Huesca,defensa,4,41,"0,17",23,9,11,9,11,0,0,"0,0",654,500,159,"76,45",159,40,13,"1,74"
01_0101_2018_111274,Bacca,Villarreal,delantero,4,41,"0,17",24,2,240,2,233,1,126,"0,04",190,125,357,"65,79",349,14,259,"0,58"
01_0101_2018_156305,Escalante,Eibar,centrocampista,4,41,"0,17",24,4,130,4,120,0,0,"0,0",488,377,219,"77,25",232,21,159,"0,88"
01_0101_2018_42779,Gameiro,Valencia,delantero,4,41,"0,17",24,1,303,1,298,1,126,"0,04",318,248,282,"77,99",289,10,318,"0,42"
01_0101_2018_89335,Saúl,Atlético,centrocampista,4,41,"0,16",25,6,58,6,55,1,126,"0,04",1105,852,56,"77,1",43,18,198,"0,72"
01_0101_2018_19524,Cazorla,Villarreal,centrocampista,4,41,"0,15",26,2,240,2,233,6,7,"0,23",1103,954,37,"86,49",44,30,69,"1,15"
01_0101_2018_84583,Coutinho,Barcelona,centrocampista,4,41,"0,15",27,1,303,1,298,2,62,"0,07",1151,1013,27,"88,01",34,17,217,"0,63"
01_0101_2018_244716,Cucho Hdez.,Huesca,delantero,4,41,"0,15",27,5,85,5,78,3,37,"0,11",463,325,244,"70,19",240,36,27,"1,33"
01_0101_2018_92190,Jony,Alavés,centrocampista,4,41,"0,15",27,2,240,2,233,9,2,"0,33",576,369,228,"64,06",194,24,123,"0,89"
01_0101_2018_18221,Piqué,Barcelona,defensa,4,41,"0,14",29,4,130,4,120,2,62,"0,07",1962,1794,3,"91,44",3,27,97,"0,93"
01_0101_2018_68690,Braithwaite,Leganés,delantero,3,54,"0,27",11,5,85,5,78,2,62,"0,18",138,101,375,"73,19",376,11,305,"1,0"
01_0101_2018_443967,Junior,Betis,defensa,3,54,"0,19",16,5,85,5,78,1,126,"0,06",609,501,157,"82,27",180,18,198,"1,13"
01_0101_2018_80209,Isco,R. Madrid,centrocampista,3,54,"0,17",18,1,303,1,298,2,62,"0,11",628,557,136,"88,69",169,12,289,"0,67"
01_0101_2018_218328,Samuel Chukwueze,Villarreal,centrocampista,3,54,"0,17",18,0,0,0,0,1,126,"0,06",330,246,284,"74,55",284,18,198,"1,0"
01_0101_2018_55268,Coke,Levante,defensa,3,54,"0,16",19,2,240,1,298,0,0,"0,0",520,391,212,"75,19",218,24,123,"1,26"
01_0101_2018_96767,Foulquier,Getafe,defensa,3,54,"0,15",20,6,58,6,55,1,126,"0,05",316,201,311,"63,61",292,15,242,"0,75"
01_0101_2018_86168,Rochina,Levante,centrocampista,3,54,"0,15",20,9,11,8,21,5,13,"0,25",709,508,153,"71,65",136,20,170,"1,0"
01_0101_2018_86169,Tello,Betis,delantero,3,54,"0,15",20,1,303,1,298,5,13,"0,25",547,469,174,"85,74",208,15,242,"0,75"
01_0101_2018_40380,El Zhar,Leganés,centrocampista,3,54,"0,14",21,0,0,0,0,0,0,"0,0",223,168,332,"75,34",329,14,259,"0,67"
01_0101_2018_199248,Mayoral,Levante,delantero,3,54,"0,14",21,0,0,0,0,1,126,"0,05",274,223,297,"81,39",312,28,85,"1,33"
01_0101_2018_182539,Ceballos,R. Madrid,centrocampista,3,54,"0,14",22,3,187,3,176,0,0,"0,0",988,917,44,"92,81",69,12,289,"0,55"
01_0101_2018_112994,Sobrino,Valencia,delantero,3,54,"0,14",22,2,240,2,233,1,126,"0,05",266,185,321,"69,55",315,14,259,"0,64"
01_0101_2018_97636,Álex Gallar,Huesca,delantero,3,54,"0,14",22,2,240,2,233,1,126,"0,05",383,286,258,"74,67",265,25,111,"1,14"
01_0101_2018_61256,Casemiro,R. Madrid,centrocampista,3,54,"0,13",23,5,85,4,120,0,0,"0,0",1251,1105,21,"88,33",24,24,123,"1,04"
01_0101_2018_213431,M. Hermoso,Espanyol,defensa,3,54,"0,13",23,6,58,6,55,0,0,"0,0",1154,957,35,"82,93",33,29,76,"1,26"
01_0101_2018_46998,Granero,Espanyol,centrocampista,3,54,"0,13",24,9,11,9,11,1,126,"0,04",972,835,61,"85,91",73,28,85,"1,17"
01_0101_2018_61597,Kike García,Eibar,delantero,3,54,"0,13",24,0,0,0,0,0,0,"0,0",338,236,292,"69,82",282,20,170,"0,83"
01_0101_2018_100868,Araújo,Celta,defensa,3,54,"0,12",25,1,303,0,5,0,0,"0,0",1179,1016,26,"86,17",31,38,20,"1,52"
01_0101_2018_168636,Enes Ünal,Valladolid,delantero,3,54,"0,12",25,5,85,5,78,1,126,"0,04",378,260,274,"68,78",266,23,135,"0,92"
01_0101_2018_48854,Orellana,Eibar,centrocampista,3,54,"0,12",25,4,130,4,120,4,21,"0,16",886,690,100,"77,88",91,33,43,"1,32"
01_0101_2018_167199,Thomas,Atlético,centrocampista,3,54,"0,12",25,5,85,4,120,3,37,"0,12",1049,873,53,"83,22",56,15,242,"0,6"
01_0101_2018_223757,Óscar,Leganés,centrocampista,3,54,"0,12",25,5,85,5,78,3,37,"0,12",773,579,131,"74,9",113,20,170,"0,8"
01_0101_2018_96785,Óscar Plano,Valladolid,delantero,3,54,"0,12",25,5,85,5,78,3,37,"0,12",585,452,180,"77,26",189,38,20,"1,52"
01_0101_2018_96771,Alcaraz,Valladolid,centrocampista,3,54,"0,12",26,8,25,8,21,1,126,"0,04",1358,1151,18,"84,76",18,34,39,"1,31"
01_0101_2018_208380,Pedraza,Villarreal,centrocampista,3,54,"0,12",26,3,187,3,176,3,37,"0,12",591,449,182,"75,97",187,28,85,"1,08"
01_0101_2018_165682,Álvaro Gª,Rayo,centrocampista,3,54,"0,12",26,2,240,2,233,1,126,"0,04",305,210,305,"68,85",296,25,111,"0,96"
01_0101_2018_49309,Banega,Sevilla,centrocampista,3,54,"0,11",27,11,3,10,8,2,62,"0,07",1782,1524,9,"85,52",8,29,76,"1,07"
01_0101_2018_84471,Ibai,Athletic,centrocampista,3,54,"0,11",27,0,0,0,0,4,21,"0,15",654,483,166,"73,85",159,19,186,"0,7"
01_0101_2018_37055,Modric,R. Madrid,centrocampista,3,54,"0,11",27,5,85,5,78,4,21,"0,15",1513,1348,13,"89,09",14,27,97,"1,0"
01_0101_2018_132161,Embarba,Rayo,delantero,3,54,"0,11",28,3,187,3,176,2,62,"0,07",395,276,265,"69,87",261,32,51,"1,14"
01_0101_2018_195364,Jordán,Eibar,centrocampista,3,54,"0,11",28,8,25,8,21,4,21,"0,14",1270,1048,25,"82,52",23,32,51,"1,14"
01_0101_2018_34703,Rakitic,Barcelona,centrocampista,3,54,"0,11",28,5,85,4,120,4,21,"0,14",2062,1894,2,"91,85",2,21,159,"0,75"
01_0101_2018_242831,Peru Nolaskoain,Athletic,centrocampista,2,86,"0,25",8,3,187,2,233,0,0,"0,0",276,238,289,"86,23",309,11,305,"1,38"
01_0101_2018_244363,Cardona,Eibar,delantero,2,86,"0,2",10,1,303,1,298,0,0,"0,0",65,50,425,"76,92",425,4,399,"0,4"
01_0101_2018_454317,Enric Gallego,Huesca,delantero,2,86,"0,2",10,2,240,2,233,1,126,"0,1",216,111,367,"51,39",334,12,289,"1,2"
01_0101_2018_173219,Leo Suárez,Valladolid,centrocampista,2,86,"0,17",12,0,0,0,0,0,0,"0,0",148,119,360,"80,41",366,3,418,"0,25"
01_0101_2018_52117,S. Doumbia,Girona,delantero,2,86,"0,17",12,1,303,1,298,0,0,"0,0",36,27,456,"75,0",456,4,399,"0,33"
01_0101_2018_14464,Aduriz,Athletic,delantero,2,86,"0,15",13,3,187,3,176,0,0,"0,0",184,117,361,"63,59",355,10,318,"0,77"
01_0101_2018_169201,Chema Rguez.,Levante,defensa,2,86,"0,13",15,5,85,5,78,0,0,"0,0",275,197,314,"71,64",311,17,217,"1,13"
01_0101_2018_18507,Diego Costa,Atlético,delantero,2,86,"0,13",15,4,130,4,120,2,62,"0,13",290,203,309,"70,0",300,8,349,"0,53"
01_0101_2018_103263,Inui,Alavés,centrocampista,2,86,"0,13",15,0,0,0,0,0,0,"0,0",273,222,299,"81,32",313,9,335,"0,6"
01_0101_2018_48832,Rosales,Espanyol,defensa,2,86,"0,13",15,2,240,2,233,1,126,"0,07",686,528,146,"76,97",146,18,198,"1,2"
01_0101_2018_168598,Sanabria,Betis,delantero,2,86,"0,13",15,2,240,2,233,0,0,"0,0",137,103,373,"75,18",377,12,289,"0,8"
01_0101_2018_246333,Vinícius,R. Madrid,delantero,2,86,"0,13",15,0,0,0,0,0,0,"0,0",254,194,317,"76,38",320,10,318,"0,67"
01_0101_2018_208135,Diakhaby,Valencia,defensa,2,86,"0,13",16,6,58,6,55,0,0,"0,0",510,434,188,"85,1",220,10,318,"0,63"
01_0101_2018_39563,Marcelo,R. Madrid,defensa,2,86,"0,13",16,4,130,4,120,2,62,"0,13",888,745,83,"83,9",90,22,149,"1,38"
01_0101_2018_50401,N. Kalinic,Atlético,delantero,2,86,"0,13",16,3,187,3,176,0,0,"0,0",102,58,418,"56,86",399,4,399,"0,25"
